,Class,,Bachelor,,Master,,Doctorate
PR,I-A,1,,,,,
,I-B,2,,,,,
,I-C,3,12350000,,,,
,I-D,4,13850000,,,,
MU,II-A,5,15350000,1,15650000,,
,II-B,6,16850000,2,17500000,,
,II-C,7,18350000,3,19300000,,
,II-D,8,19800000,4,21150000,,
MA,III-A,9,21300000,5,22950000,1,25950000
,III-B,10,22800000,6,24800000,2,27900000
,III-C,11,24300000,7,26600000,3,30000000
,III-D,12,25800000,8,28450000,4,31950000
UT,IV-A,13,27250000,9,30250000,5,33900000
,IV-B,14,28750000,10,32050000,6,35850000
,IV-C,15,30250000,11,33900000,7,37950000
,IV-D,16,31750000,12,35700000,8,39900000
KE,V-A,17,33250000,13,37550000,9,41850000
,V-B,18,34700000,14,39350000,10,43800000
,V-C,19,36200000,15,41200000,11,45900000
,V-D,20,37700000,16,43000000,12,47850000
PE,VI-A,21,39200000,17,44800000,13,49800000
,VI-B,22,40650000,18,46650000,14,51750000
,VI-C,23,42150000,19,48450000,15,53850000
,VI-D,24,43650000,20,50300000,16,55800000
,VI-E,25,45150000,21,52100000,17,57750000

PR,Ahli Pratama
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
KE,Ahli Kepala
PE,Ahli Pembina Kepala
