,,Bachelor,,Master,,Doctorate
PR,1,,,,,
,2,,,,,
,3,16750000,,,,
,4,18250000,,,,
MU,5,19750000,1,27250000,,
,6,21250000,2,29250000,,
,7,22750000,3,31000000,,
,8,24250000,4,32750000,,
MA,9,25750000,5,34750000,1,39000000
,10,27250000,6,36500000,2,41000000
,11,28750000,7,38250000,3,43000000
,12,30250000,8,40250000,4,45000000
UT,13,31750000,9,42000000,5,47000000
,14,33250000,10,44000000,6,49000000
,15,34750000,11,45750000,7,51000000
,16,36250000,12,47500000,8,53000000
,17,37750000,13,49500000,9,55000000
,18,39250000,14,51250000,10,57000000
,19,40750000,15,53000000,11,59000000
,20,42250000,16,55000000,12,61000000
,21,43750000,17,56750000,13,63000000
,22,45250000,18,58500000,14,65000000
,23,46750000,19,60500000,15,67000000
,24,48250000,20,62250000,16,69000000
,25,49750000,21,64000000,17,71000000

PR,Ahli Pratama
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
