UT,MA,MU,TA,Bachelor,,Master,,Doctorate
,,,1,,,,,
,,,2,,,,,
,,1,3,17250000,,,,
,,2,4,18750000,,,,
,,3,5,20250000,1,28000000,,
,,4,6,21750000,2,30000000,,
,1,5,7,23250000,3,31750000,,
,2,6,8,24750000,4,33500000,1,40000000
,3,7,9,26250000,5,35500000,2,42000000
,4,8,10,27750000,6,37250000,3,44000000
1,5,9,11,29250000,7,39000000,4,46000000
2,6,10,12,30750000,8,41000000,5,48000000
3,7,11,13,32250000,9,42750000,6,50000000
4,8,12,14,33750000,10,44500000,7,52000000
5,9,13,15,35250000,11,46500000,8,54000000
6,10,14,16,36750000,12,48250000,9,56000000
7,11,15,17,38250000,13,50000000,10,58000000
8,12,16,18,39750000,14,52000000,11,60000000
9,13,17,19,41250000,15,53750000,12,62000000
10,14,18,20,42750000,16,55500000,13,64000000
11,15,19,21,44250000,17,57500000,14,66000000
12,16,20,22,45750000,18,59250000,15,68000000
13,17,21,23,47250000,19,61000000,16,70000000
14,18,22,24,48750000,20,63000000,17,72000000
15,19,23,25,50250000,21,64750000,18,74000000

TA,Tenaga Ahli
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
