UT,MA,MU,TA,Bachelor,Master,Doctorate
,,,1,,23750000,30250000
,,,2,,25500000,32250000
,,1,3,18500000,27250000,34250000
,,2,4,20000000,29250000,36250000
,1,3,5,21500000,31000000,38250000
,2,4,6,23000000,32750000,40250000
,3,5,7,24500000,34750000,42250000
1,4,6,8,26000000,36500000,44250000
2,5,7,9,27500000,38250000,46250000
3,6,8,10,29000000,40250000,48250000
4,7,9,11,30500000,42000000,50250000
5,8,10,12,32000000,43750000,52250000
6,9,11,13,33500000,45750000,54250000
7,10,12,14,35000000,47500000,56250000
8,11,13,15,36500000,49250000,58250000
9,12,14,16,38000000,51250000,60250000
10,13,15,17,39500000,53000000,62250000
11,14,16,18,41000000,54750000,64250000
12,15,17,19,42500000,56750000,66250000
13,16,18,20,44000000,58500000,68250000
14,17,19,21,45500000,60250000,70250000
15,18,20,22,47000000,62250000,72250000
16,19,21,23,48500000,64000000,74250000
17,20,22,24,50000000,65750000,76250000
18,21,23,25,51500000,67750000,78250000

TA,Tenaga Ahli Tanpa SKA
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
