Year,Degree,Experience,Billing
2007,Bachelor,1,7500000
2007,Bachelor,2,8150000
2007,Bachelor,3,9100000
2007,Bachelor,4,10000000
2007,Bachelor,5,10900000
2007,Bachelor,6,11850000
2007,Bachelor,7,12750000
2007,Bachelor,8,13700000
2007,Bachelor,9,14600000
2007,Bachelor,10,15500000
2007,Bachelor,11,16450000
2007,Bachelor,12,17350000
2007,Bachelor,13,18300000
2007,Bachelor,14,19200000
2007,Bachelor,15,20100000
2007,Bachelor,16,21050000
2007,Bachelor,17,21950000
2007,Bachelor,18,22850000
2007,Bachelor,19,23800000
2007,Bachelor,20,24700000
2007,Bachelor,21,25650000
2007,Bachelor,22,26550000
2007,Bachelor,23,27450000
2007,Bachelor,24,28400000
2007,Bachelor,25,29300000
2007,Master,5,11450000
2007,Master,6,12500000
2007,Master,7,13500000
2007,Master,8,14550000
2007,Master,9,15550000
2007,Master,10,16550000
2007,Master,11,17600000
2007,Master,12,18600000
2007,Master,13,19650000
2007,Master,14,20650000
2007,Master,15,21650000
2007,Master,16,22700000
2007,Master,17,23700000
2007,Master,18,24750000
2007,Master,19,25750000
2007,Master,20,26750000
2007,Master,21,27800000
2007,Master,22,28800000
2007,Master,23,29850000
2007,Master,24,30850000
2007,Master,25,31850000
2007,Doctorate,9,18500000
2007,Doctorate,10,19600000
2007,Doctorate,11,20700000
2007,Doctorate,12,21800000
2007,Doctorate,13,22950000
2007,Doctorate,14,24050000
2007,Doctorate,15,25150000
2007,Doctorate,16,26250000
2007,Doctorate,17,27350000
2007,Doctorate,18,28450000
2007,Doctorate,19,29600000
2007,Doctorate,20,30700000
2007,Doctorate,21,31800000
2007,Doctorate,22,32900000
2007,Doctorate,23,34000000
2007,Doctorate,24,35150000
2007,Doctorate,25,36250000
2008,Bachelor,3,12350000
2008,Bachelor,4,13850000
2008,Bachelor,5,15350000
2008,Bachelor,6,16850000
2008,Bachelor,7,18350000
2008,Bachelor,8,19800000
2008,Bachelor,9,21300000
2008,Bachelor,10,22800000
2008,Bachelor,11,24300000
2008,Bachelor,12,25800000
2008,Bachelor,13,27250000
2008,Bachelor,14,28750000
2008,Bachelor,15,30250000
2008,Bachelor,16,31750000
2008,Bachelor,17,33250000
2008,Bachelor,18,34700000
2008,Bachelor,19,36200000
2008,Bachelor,20,37700000
2008,Bachelor,21,39200000
2008,Bachelor,22,40650000
2008,Bachelor,23,42150000
2008,Bachelor,24,43650000
2008,Bachelor,25,45150000
2008,Master,5,15650000
2008,Master,6,17500000
2008,Master,7,19300000
2008,Master,8,21150000
2008,Master,9,22950000
2008,Master,10,24800000
2008,Master,11,26600000
2008,Master,12,28450000
2008,Master,13,30250000
2008,Master,14,32050000
2008,Master,15,33900000
2008,Master,16,35700000
2008,Master,17,37550000
2008,Master,18,39350000
2008,Master,19,41200000
2008,Master,20,43000000
2008,Master,21,44800000
2008,Master,22,46650000
2008,Master,23,48450000
2008,Master,24,50300000
2008,Master,25,52100000
2008,Doctorate,9,25950000
2008,Doctorate,10,27900000
2008,Doctorate,11,30000000
2008,Doctorate,12,31950000
2008,Doctorate,13,33900000
2008,Doctorate,14,35850000
2008,Doctorate,15,37950000
2008,Doctorate,16,39900000
2008,Doctorate,17,41850000
2008,Doctorate,18,43800000
2008,Doctorate,19,45900000
2008,Doctorate,20,47850000
2008,Doctorate,21,49800000
2008,Doctorate,22,51750000
2008,Doctorate,23,53850000
2008,Doctorate,24,55800000
2008,Doctorate,25,57750000
2010,Bachelor,3,13050000
2010,Bachelor,4,14550000
2010,Bachelor,5,15900000
2010,Bachelor,6,17400000
2010,Bachelor,7,18900000
2010,Bachelor,8,20400000
2010,Bachelor,9,21400000
2010,Bachelor,10,23400000
2010,Bachelor,11,24900000
2010,Bachelor,12,26400000
2010,Bachelor,13,27900000
2010,Bachelor,14,29400000
2010,Bachelor,15,30900000
2010,Bachelor,16,32400000
2010,Bachelor,17,33900000
2010,Bachelor,18,35400000
2010,Bachelor,19,36750000
2010,Bachelor,20,38250000
2010,Bachelor,21,39750000
2010,Bachelor,22,41250000
2010,Bachelor,23,42750000
2010,Bachelor,24,44250000
2010,Bachelor,25,45750000
2010,Master,5,16500000
2010,Master,6,18300000
